0,1
ABBV,CSCO
ABBV,CSGP
ABBV,CSX
ABBV,CTAS
ABBV,CVS
ABBV,DD
ABBV,DG
ABBV,DGX
ABBV,DHR
ABBV,DOV
ABBV,DPZ
ABBV,DTE
ABBV,DUK
ABBV,EA
ABBV,EBAY
ABBV,ED
ABBV,EFX
ABBV,EL
ABBV,EMN
ABBV,EMR
ABBV,EQIX
ABBV,ES
ABBV,ETN
ABBV,ETR
ABBV,EVRG
ABBV,EXC
ABBV,EXPD
ABBV,EXR
ABBV,FAST
ABBV,FDS
ABBV,FDX
ABBV,FMC
ABBV,GD
ABBV,GEN
ABBV,GILD
ABBV,GIS
ABBV,GL
ABBV,GLW
ABBV,GOOG
ABBV,GOOGL
ABBV,GPC
ABBV,GRMN
ABBV,GS
ABBV,GWW
ABBV,HD
ABBV,HOLX
ABBV,HON
ABBV,HRL
ABBV,HSIC
ABBV,HSY
ABBV,HUM
ABBV,IBM
ABBV,ICE
ABBV,IDXX
ABBV,IEX
ABBV,INVH
ABBV,IQV
ABBV,IR
ABBV,ISRG
ABBV,ITW
ABBV,J
ABBV,JBHT
ABBV,JCI
ABBV,JKHY
ABBV,JNJ
ABBV,JNPR
ABBV,K
ABBV,KDP
ABBV,KEYS
ABBV,KHC
ABBV,KMB
ABBV,KO
ABBV,KR
ABBV,LDOS
ABBV,LH
ABBV,LHX
ABBV,LIN
ABBV,LMT
ABBV,LNT
ABBV,MA
ABBV,MAA
ABBV,MCD
ABBV,MCO
ABBV,MDLZ
ABBV,MKC
ABBV,MLM
ABBV,MMC
ABBV,MNST
ABBV,MO
ABBV,MRK
ABBV,MSFT
ABBV,MSI
ABBV,MTD
ABBV,NDAQ
ABBV,NDSN
ABBV,NEE
ABBV,NEM
ABBV,NI
ABBV,NKE
ABBV,NOC
ABBV,NSC
ABBV,NWS
ABBV,NWSA
ABBV,OMC
ABBV,ORCL
ABBV,ORLY
ABBV,PAYX
ABBV,PCAR
ABBV,PEG
ABBV,PEP
ABBV,PFE
ABBV,PG
ABBV,PGR
ABBV,PKG
ABBV,PKI
ABBV,PLD
ABBV,PM
ABBV,POOL
ABBV,PSA
ABBV,RE
ABBV,REGN
ABBV,RHI
ABBV,RMD
ABBV,ROK
ABBV,ROL
ABBV,ROP
ABBV,RSG
ABBV,SBAC
